ranking,score,movie_name,score_num
192,8.9,惊魂记,89099
193,9.0,忠犬八公物语,64585
194,8.5,阿飞正传,196223
195,8.4,青蛇,234865
196,8.5,再次出发之纽约遇见你,182627
197,8.7,碧海蓝天,111253
198,9.2,东京物语,54543
199,8.9,哪吒闹海,85936
200,8.6,模仿游戏,271877
201,8.3,秒速5厘米,316648
202,8.7,末路狂花,111247
203,8.7,一个叫欧维的男人决定去死,129988
204,8.3,源代码,429050
205,8.6,终结者2：审判日,148976
206,8.4,你的名字。,506781
207,8.6,海盗电台,171288
208,8.5,黑客帝国3：矩阵革命,165246
209,8.7,绿里奇迹,112445
210,8.5,新龙门客栈,195014
211,8.5,勇闯夺命岛,148622
212,8.5,这个男人来自地球,192859
213,9.0,无人知晓,64182
214,8.6,卡萨布兰卡,130935
215,9.2,城市之光,47172
216,8.4,变脸,224092
217,8.4,无耻混蛋,234418
218,8.3,初恋这件小事,486110
219,8.6,完美陌生人,197006
220,8.4,发条橙,194722
221,8.5,E.T. 外星人,161572
222,9.1,黄金三镖客,54561
223,8.6,荒野生存,133548
224,8.4,美国丽人,194198
225,9.1,迁徙的鸟,53577
226,8.8,爱在午夜降临前,123631
227,8.4,英国病人,180198
228,8.3,疯狂的石头,333573
229,8.6,燕尾蝶,111229
230,8.8,步履不停,81298
231,8.6,非常嫌疑犯,122182
232,8.6,无敌破坏王,193074
233,8.9,勇士,91298
234,8.6,叫我第一名,113571
235,8.3,穆赫兰道,245619
236,8.3,国王的演讲,356291
237,8.4,彗星来的那一夜,191603
238,8.5,血钻,140188
239,8.6,上帝也疯狂,100179
240,8.6,枪火,104822
241,8.8,聚焦,134842
242,9.0,我爱你,61085
243,8.5,遗愿清单,136537
244,8.6,大卫·戈尔的一生,98960
245,8.3,蓝色大门,281196
246,8.6,海街日记,136258
247,8.5,荒岛余生,141343
248,8.5,黑鹰坠落,122167
249,8.7,千钧一发,90950
250,9.0,爱·回家,49467
